pair,p1,p2,n,mean_bps,sharpe,t,wr,pf,avg_hold,mr,stop,time,h1_n,h1_sharpe,h1_mean,h2_n,h2_sharpe,h2_mean
海運: 郵船/川崎汽船,9101.T,9107.T,2,160.39944252345285,150.92227272871938,60.12887271704445,100.0,inf,20.0,0,0,2,1,0.0,164.17199066486262,1,0.0,156.62689438204308
通信: NTT/SB,9432.T,9434.T,3,180.50636827587536,3.210109928273908,1.5663732565876585,66.66666666666666,6.366854572212147,20.0,0,0,3,1,0.0,302.05050319558075,2,1.9263249446437005,119.73430081602265
電機: 日立/三菱電,6501.T,6503.T,4,164.1198574714795,2.795400972371876,1.5750300169815488,100.0,inf,20.0,0,0,4,2,5.056053185638667,306.2800860033098,2,5.412520133583668,21.959628939649207
商社: 住友商/三菱商,8053.T,8058.T,3,163.8854505692027,1.4899096656356037,0.5935942192305046,66.66666666666666,2.2092119940030015,13.333333333333334,2,0,1,1,0.0,134.5897819608307,2,1.531688097185622,178.5332848733887
半導体: ディスコ/ローツェ,6146.T,6323.T,3,115.45714980639401,1.0222562049751704,0.4988099525036797,66.66666666666666,1.9509065532789496,20.0,0,0,3,1,0.0,93.58649198719654,2,0.9144034982392103,126.39247871599275
銀行: MUFG/SMFG,8306.T,8316.T,3,61.49076594339169,0.9160664429095401,0.40394733205836525,33.33333333333333,1.7489785421646031,16.333333333333332,1,0,2,1,0.0,-167.868611533358,2,2.4561752376065558,176.17045468176656
商社: 豊通/住友商,8015.T,8053.T,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0
自動車: トヨタ/マツダ,7203.T,7261.T,4,-73.53874557199336,-0.6527555244811453,-0.3513271524941307,25.0,0.6806834551092856,18.25,1,0,3,2,1.5926818274100079,194.2088823635776,2,-9.482784293770925,-341.28637350756435
医薬: アステラス/大塚,4503.T,4578.T,4,-60.33065786012323,-0.7671658947771504,-0.43224901336901206,50.0,0.617127088197371,20.0,0,0,4,2,-6.955869293422425,-315.1471728625383,2,63.01366837687773,194.48585714229182
エネルギー: INPEX/ENEOS,1605.T,5020.T,4,-149.1942664527678,-1.1225162059223373,-0.5788016368729826,25.0,0.5362826209129989,16.75,1,0,3,2,2.847107641269112,274.1463792000092,2,-353.57669158144483,-572.5349121055449
重工: MHI/IHI,7011.T,7013.T,3,-87.11795398502305,-1.5326458714577442,-0.6548177830136737,33.33333333333333,0.4744662222006769,15.333333333333334,1,0,2,1,0.0,-211.68334859998888,2,-0.3380325958576402,-24.835256677540116
ビール: アサヒ/キリン,2502.T,2503.T,4,-87.11835553850318,-1.7954868516590385,-0.6972262941107703,50.0,0.39972749960293447,9.5,4,0,0,2,1.654396230722956,54.57601950145291,2,-4.985369162501394,-228.81273057845928
自動車: スバル/スズキ,7270.T,7269.T,3,-177.37146587753645,-1.964014296382892,-0.8921667759347429,33.33333333333333,0.3561385045271063,17.333333333333332,1,0,2,1,0.0,-518.048188904897,2,-0.09261903095271586,-7.033104363856211
銀行: MUFG/みずほ,8306.T,8411.T,4,-127.2930561259358,-2.170949392485635,-1.0233953580262722,25.0,0.35580219651233713,14.0,2,1,1,2,-9.411134134734484,-227.72842175591975,2,-0.41725845355583,-26.857690495951857
銀行: SMFG/みずほ,8316.T,8411.T,4,-123.39188200762109,-2.6194626779930816,-1.3097313389965408,25.0,0.27185538999186504,15.75,2,0,2,2,-11.60137787491228,-212.02743512173126,2,-0.5632647047532898,-34.75632889351091
医薬: 武田/第一三共,4502.T,4568.T,3,-275.5217589971202,-2.710437841820824,-1.2662531141793882,33.33333333333333,0.1494232410524476,18.333333333333332,1,0,2,1,0.0,145.20507565041382,2,-6.086691768626625,-485.8851763208871
鉄道: JR東/JR東海,9020.T,9022.T,3,-326.1917377897419,-3.752317112066729,-1.8156213013087141,33.33333333333333,0.0644954508720605,19.666666666666668,1,0,2,1,0.0,-693.3817613979885,2,-2.440315360668477,-142.59672598561866
不動産: 三井不/三菱地,8801.T,8802.T,3,-162.55900444270742,-3.7628516787774178,-1.536177765129958,33.33333333333333,0.1649568281930628,14.0,2,0,1,1,0.0,-302.9816389393904,2,-2.3425723949752366,-92.34768719436593
非鉄: 三菱マテ/住友金鉱,5711.T,5713.T,3,-319.5450037848586,-5.811229865731825,-2.7148705648796176,0.0,0.0,18.333333333333332,2,0,1,1,0.0,-516.4686104471612,2,-4.474304338132566,-221.08320045370724
商社: 丸紅/三井物産,8002.T,8031.T,4,-446.4945842602315,-8.698565963162551,-4.383665200270313,0.0,0.0,16.0,2,0,2,2,-23.33928726384609,-336.8611640443274,2,-8.449697833214032,-556.1280044761356
