event_date,event_close,event_ret_oc_bps,vol,vol_ratio,entry_date,entry_price,exit_date,exit_price,ret_bps
2018-01-09,5378.0,-255.48106541040005,2951500,,2018-01-10,5289.0,2018-01-23,5228.0,-115.3337114766495
2018-01-15,5443.0,-125.18142235123375,1421700,,2018-01-16,5410.0,2018-01-29,5269.0,-260.62846580406693
2018-01-16,5379.0,-57.3012939001849,2069900,,2018-01-17,5261.0,2018-01-30,5154.0,-203.38338718874692
2018-01-18,5189.0,-329.85464032799115,2757300,,2018-01-19,5178.0,2018-02-01,5227.0,94.63113171108483
2021-08-10,4195.0,-468.07543740059134,4102600,3.1548754229467857,2021-08-11,4277.0,2021-08-24,4069.0,-486.3221884498481
2022-04-26,5468.0,-232.22579492675922,6281900,3.4221665350148447,2022-04-27,5523.0,2022-05-16,4980.0,-983.1613253666483
2023-05-11,4466.0,-195.38968166849634,5972400,4.57707782503736,2023-05-12,4467.0,2023-05-25,4278.0,-423.1027535258558
2023-05-12,4326.0,-315.6480859637345,4914100,3.567922747404342,2023-05-15,4319.0,2023-05-26,4256.0,-145.86709886547865
2024-08-08,3585.0,-210.2676133260517,4602300,3.387905333284258,2024-08-09,3655.0,2024-08-23,4123.0,1280.4377564979475
2024-11-13,3801.0,-273.797338792221,4723100,4.437335588124765,2024-11-14,3811.0,2024-11-27,3728.0,-217.79060614012025
2025-07-09,3593.0,-270.7825616030324,3770100,3.085440707095507,2025-07-10,3582.0,2025-07-24,3626.0,122.83640424344044
2026-01-30,9360.0,-204.08163265306146,22893300,4.3705768367999545,2026-02-02,8460.0,2026-02-16,9667.0,1426.7139479905434
