rule,target,N,mean_raw_bps,mean_net_bps,std_bps,t_stat,p_val,win_rate,profit_factor,sharpe_net,significant,score
B6_PrevWeak_ON_Reversal,on_ret,8756,501.0,497.0,4236.2,11.07,0.0,54.0,9.09,1.86,True,2.5883925892244433
A8_GapUp_Lg_ON,on_ret,13020,348.0,344.0,3524.7,11.27,0.0,55.4,7.38,1.55,True,2.0865996650515624
B4_PrevWeak_NextShort,next_fullday_ret,8756,97.5,93.5,907.8,10.04,0.0,50.0,2.29,1.63,True,1.2161346731069214
F5_AftStrong_ON_Buy,on_ret,11815,155.6,151.6,2313.4,7.31,0.0,54.7,3.64,1.04,True,1.132049147624456
F2_MorningWeak_ON_Buy,on_ret,12286,138.2,134.2,2247.3,6.82,0.0,53.4,3.18,0.95,True,1.0311017649769785
F1_MorningStrong_ON_Buy,on_ret,11670,123.6,119.6,1995.6,6.69,0.0,53.9,3.14,0.95,True,0.9755527676163133
F6_AftWeak_ON_Buy,on_ret,10378,118.1,114.1,1984.1,6.06,0.0,52.7,2.88,0.91,True,0.9073690996424008
F4_PrevWeak_GapDown_ON_Buy,on_ret,3194,38.4,34.4,283.9,7.64,0.0,56.8,1.58,1.92,True,0.8857757601832863
D8_ORB30_Up_ON_Buy,on_ret,7793,119.1,115.1,1901.8,5.53,0.0,54.4,3.28,0.96,True,0.8770922429151844
F3_ORB30Up_MornStrong_ON,on_ret,7599,120.1,116.1,1922.2,5.44,0.0,54.3,3.27,0.96,True,0.8736148265669832
E5_LowVol_AftRet,aft_ret,24084,4.2,0.2,77.7,8.43,0.0,51.8,1.17,0.04,True,0.6257940705149159
C3_MorningWeak_AftBuy,aft_ret,14807,5.5,1.5,90.8,7.44,0.0,52.2,1.2,0.27,True,0.5827421854627639
A5_GapDown_Lg_Aft_Reversal,aft_ret,9767,5.9,1.9,98.3,5.92,0.0,52.5,1.2,0.31,True,0.47656442251898085
G2_PrevWeak_GapDown_AftBuy,aft_ret,2936,9.5,5.5,112.3,4.56,0.0,54.7,1.3,0.77,True,0.43925933439855686
B5_PrevStrong_ON_Buy,on_ret,8470,19.7,15.7,586.9,3.09,0.002,53.0,1.3,0.42,True,0.3239677574237878
C8_GapDown_MornUp_GapFill_Buy,aft_ret,6115,4.3,0.3,92.7,3.63,0.0,51.5,1.15,0.05,True,0.2738125105848865
G3_PrevWeak_GapDown_NextBuy,next_fullday_ret,2927,8.0,4.0,214.0,2.03,0.043,50.1,1.11,0.3,True,0.19564407910827128
