label,N,mean_raw,mean_net,std,t_stat,p_val,win_rate,sharpe
H4: 信用倍率減Bottom5% ロング,5410,11.7,11.7,1039.6,0.83,0.406,45.1,0.08
H2: 信用売増Top20% ロング,19982,4.2,4.2,785.6,0.76,0.4476,45.9,0.04
H3: 信用倍率増Top10% ショート,11165,4.4,4.4,670.1,0.69,0.4922,52.8,0.05
H1: 信用買増Top5% ショート,5750,7.1,7.1,823.5,0.66,0.5111,53.9,0.06
H2: 信用売増Top10% ロング,10066,6.2,6.2,959.1,0.65,0.5137,45.3,0.05
H3: 信用倍率増Top20% ショート,22213,1.9,1.9,606.9,0.47,0.6408,52.7,0.02
H3: 信用倍率増Top5% ショート,5670,4.7,4.7,795.5,0.45,0.6544,53.2,0.04
"H6: LS両建て 10% (買=squeeze候補,売=過熱)",22068,2.2,2.2,768.3,0.42,0.6712,49.1,0.02
"H6: LS両建て 20% (買=squeeze候補,売=過熱)",44166,1.3,1.3,663.3,0.41,0.68,49.4,0.01
H5a: long_Z>3.0 ショート,4280,3.3,3.3,946.6,0.23,0.8212,53.9,0.02
H4: 信用倍率減Bottom20% ロング,21953,0.7,0.7,715.9,0.14,0.8854,46.0,0.01
H4: 信用倍率減Bottom10% ロング,10903,-0.0,-0.0,857.3,-0.0,0.9984,45.3,-0.0
H2: 信用売増Top5% ロング,5092,-1.6,-1.6,1192.0,-0.09,0.9257,43.8,-0.01
H5c: lsr_Z<-2.0 ロング,1465,-3.2,-3.2,777.5,-0.16,0.8734,44.1,-0.03
H5c: lsr_Z<-3.0 ロング,145,-19.3,-19.3,596.1,-0.39,0.6979,45.5,-0.23
H5d: lsr_Z>3.0 ショート,5197,-4.3,-4.3,572.9,-0.54,0.5912,51.4,-0.05
H1: 信用買増Top10% ショート,11357,-5.1,-5.1,820.2,-0.67,0.5053,53.6,-0.05
H5b: shrt_Z>3.0 ロング,4115,-11.5,-11.5,926.0,-0.79,0.427,44.2,-0.09
H1: 信用買増Top20% ショート,22593,-5.4,-5.4,737.0,-1.11,0.2683,53.0,-0.05
H5a: long_Z>2.0 ショート,11878,-10.4,-10.4,884.3,-1.28,0.199,53.8,-0.08
H5d: lsr_Z>2.0 ショート,11850,-8.2,-8.2,572.7,-1.55,0.1208,51.8,-0.1
H5b: shrt_Z>2.0 ロング,8516,-13.3,-13.3,781.0,-1.57,0.117,45.0,-0.12
